id,ux,uy,uz,rx,ry,rz,rfx,rfy,rfz,rmx,rmy,rmz
1,0,0,0,0,0,0,0,4000,0,-20000,0,3.07422e-13
2,0,-0.00740741,0,0.00222222,0,-6.82245e-20,0,1.81899e-12,0,3.63798e-12,0,-3.0701e-13
3,0,-0.00740741,0,0.00222222,0,-6.82245e-20,0,0,0,7.27596e-12,0,8.97547e-13
4,0,0,0,0,0,0,0,4000,0,-20000,0,3.07422e-13
