id,ux,uy,uz,rx,ry,rz,rfx,rfy,rfz,rmx,rmy,rmz
1,0,0,0,0,0,0,234.226,3723.65,1752.93,-19165.8,930.508,6135.16
2,-0.000108026,-0.00719985,-2.92156e-06,0.00219038,-2.75955e-05,-0.00136154,-3.63798e-12,-1.95541e-11,0,-4.18368e-11,-4.54747e-13,-7.27596e-12
3,-0.000106729,-0.00727237,-8.74511e-06,0.00220962,-5.83067e-05,0.00154694,3.18323e-12,-6.36646e-12,0,-2.18279e-11,-1.81899e-12,-5.45697e-12
4,0,0,0,0,0,0,-234.226,3776.35,5247.07,-19384.2,143.269,-6970.57
